0,	12049.7,	20789,	20789	20789	20789	20789	20789	
1,	12049.7,	20789,	20789	20789	20789	20789	20787.4	
2,	12049.7,	20789,	20789	20789	20789	20787.6	20678.5	
3,	12049.7,	20789,	20789	20789	20787.4	20700.1	18746.4	
4,	12049.7,	20789,		20788.6	20604.3	19662.4	14333.4	
5,	12049.7,	20789,		20720.8	19099.1	16052	11197.3	
6,	12049.7,	20789,			17993.1	15081.8	11187.9	
7,	12049.7,	20789,			15937.3	11807.1	9088.63	
8,	12049.7,	20789,			14056.9	11149.1	8356.76	
9,	12049.7,	20789,				9678.46	8991.33	
10,	12049.7,	20789,				9314.9	8603.25	
11,	12049.7,	20789,					8356.76	
12,	12049.7,	20789,					8356.76	
13,	12049.7,	20789,					8356.76	
14,	12049.7,	20789,						
15,	12049.7,	20789,						
