0,	1.1591,	1.18719,	1.18719	1.18719	1.18719	1.18719	1.18719	
1,	1.1591,	1.18719,	1.18719	1.18719	1.18719	1.18719	1.18717	
2,	1.1591,	1.18719,	1.18719	1.18719	1.18719	1.18718	1.18691	
3,	1.1591,	1.18719,	1.18719	1.18719	1.18718	1.18708	1.18015	
4,	1.1591,	1.18719,		1.18719	1.1868	1.1829	1.16343	
5,	1.1591,	1.18719,		1.18651	1.18287	1.17504	1.16072	
6,	1.1591,	1.18719,			1.17938	1.16916	1.15512	
7,	1.1591,	1.18719,			1.16987	1.16081	1.14959	
8,	1.1591,	1.18719,			1.16427	1.15388	1.1467	
9,	1.1591,	1.18719,				1.14926	1.14634	
10,	1.1591,	1.18719,				1.14948	1.14689	
11,	1.1591,	1.18719,					1.1457	
12,	1.1591,	1.18719,					1.1457	
13,	1.1591,	1.18719,					1.1457	
14,	1.1591,	1.18719,						
15,	1.1591,	1.18719,						
